YYMMDDHHMMSS.SSS,XFVX(FPS) INNER (DEG),X,VY (FPS) MIDDLE (DEG),Y,VZ (FPS) OUTER (DEG),Z,RANGE (FT),
690720201317.957125,56.6125488,   56.6125488,    2.5708008,    2.5708008,  359.8681641,-     .1318359,,1
690720201319.164125,55.8984375,   55.8984375,    2.5598145,    2.5598145,     .0878906,     .0878906,"8,928.73",1
690720201319.895125,56.1730957,   56.1730957,2.0104980,    2.010498 ,     .1977539,     .1977539,,1
690720201321.164125,55.9753418,   55.9753418,    1.5490723,    1.5490723,     .2966309,     .2966309,"8,610.42",1
690720201321.895125,56.2390137,   56.2390137,    1.0437012,    1.0437012,     .4174805,     .4174805,,1
690720201323.164125,56.0522461,   56.0522461,    1.0986328,    1.0986328,     .4833984,     .4833984,"8,351.46",1
690720201323.895125,56.1950684,   56.1950684,     .8569336,     .8569336,     .5932617,     .5932617,,1
690720201325.164125,55.9863281,   55.9863281,    1.1315918,    1.1315918,.6701660,     .670166 ,"8,022.37",1
690720201325.895125,55.8544922,   55.8544922,     .9777832,     .9777832,     .7250977,     .7250977,,1
690720201327.164125,55.6347656,   55.6347656,    1.1315018,    1.1315018,     .8239746,     .8239746,"7,795.78",1
690720201327.895125,55.2502441,   55.2502441,    1.0656738,    1.0656738,     .8349609,     .8349609,,1
690720201329.164125,55.0964355,   55.0964355,     .9448242,     .9448242,     .9118652,     .9118652,"7,504.45",1
690720201329.895125,54.6240234,   54.6240234,     .9338379,     .9338379,     .9118652,     .9118652,,1
690720201331.164125,55.0305176,   55.0305176,     .5493164,     .5493164,     .9448242,     .9448242,"7,250.88",1
690720201341.164125,46.3623047,   46.3623047,    1.7028809,    1.7028809,     .8898926,     .8898926,"6,538.74",1
690720201341.754125,46.3952637,   46.3952637,    2.2302246,    2.2302246,     .8569336,     .8569336,,1
690720201343.164125,45.3955078,   45.3955078,    2.0544434,    2.0544434,     .7910156,     .7910156,"6,177.28",1
690720201343.895125,45.7690430,   45.769043 ,    1.5270996,    1.5270996,     .7141113,     .7141113,,1
690720201345.164125,45.3186035,   45.3186035,.7360840,     .736084 ,     .5383301,     .5383301,"5,956.08",1
690720201345.937125,45.6481934,   45.6481934,     .3515625,     .3515625,     .4614258,     .4614258,,1
690720201347.164125,44.3957520,   44.395752 ,    1.1875098,    1.1875098,     .3186035,     .3186035,"5,653.96",1
690720201347.965125,44.0112305,   44.0112305,    1.5930176,    1.5930176,     .2746582,     .2746582,,1
690720201349.164125,43.3959961,   43.3959961,    2.4389648,    2.4389648,     .1538086,     .1538086,"5,395.00",1
690720201349.937125,43.4399414,   43.4399414,    2.0874023,    2.0874023,     .0219727,     .0219727,,1
