date,name,naif_id,x_au,y_au,z_au,vx_au_per_day,vy_au_per_day,vz_au_per_day
2023-07-29,4 MARS,4,-1.6471759239015376,-0.06111470518038233,0.03912379463697367,0.0010405939636025712,-0.012789543564870207,-0.0002935681606555957
2023-07-30,4 MARS,4,-1.6460809472377507,-0.07390213299033774,0.038828936857025875,0.0011493590164197303,-0.012785085215236384,-0.0002961426378369266
2023-07-31,4 MARS,4,-1.6448771850734711,-0.08668467817180284,0.03853151299161676,0.0012581632150896966,-0.012779776736904813,-0.0002987002557730354
2023-08-01,4 MARS,4,-1.6435646009485383,-0.0994614898159418,0.03823153998219586,0.0013670011609552616,-0.012773616582680246,-0.0003012408496598628
2023-08-02,4 MARS,4,-1.6421431638153563,-0.1122317154723081,0.037929034935242356,0.0014758674276168105,-0.012766603216939497,-0.00030376425425245046
2023-08-03,4 MARS,4,-1.6406128480668556,-0.12499450116057989,0.03762401512270781,0.0015847565605000063,-0.012758735115958392,-0.0003062703038613536
2023-08-04,4 MARS,4,-1.6389736335648848,-0.1377489913826268,0.03731649798246241,0.0016936630764248074,-0.012750010768247935,-0.0003087588323493198
2023-08-05,4 MARS,4,-1.6372255056690355,-0.1504943291349178,0.03700650111874441,0.0018025814631757254,-0.01274042867489995,-0.00031122967312817093
2023-08-06,4 MARS,4,-1.6353684552658934,-0.1632296559212794,0.036694042302612515,0.0019115061790734036,-0.012729987349942235,-0.0003136826591559373
2023-08-07,4 MARS,4,-1.6334024787987187,-0.17595411176601378,0.036379139472401144,0.0020204316525474753,-0.012718685320703443,-0.00031611762293420713
2023-08-08,4 MARS,4,-1.6313275782975534,-0.18866683522738703,0.03606181073417803,0.0021293522817107478,-0.012706521128187832,-0.00031853439650570727
2023-08-09,4 MARS,4,-1.629143761409752,-0.20136696341149704,0.03574207436220444,0.002238262433934773,-0.012693493327460007,-0.00032093281145214453
2023-08-10,4 MARS,4,-1.6268510414309378,-0.21405363198653107,0.035419948799396986,0.0023471564454268395,-0.012679600488039889,-0.0003233126988922523
2023-08-11,4 MARS,4,-1.6244494373363811,-0.22672597519742355,0.03509545265779165,0.0024560286208084826,-0.012664841194307948,-0.00032567388948011745
2023-08-12,4 MARS,4,-1.6219389738127963,-0.23938312588092484,0.03476860471900926,0.0025648732326955834,-0.012649214045920974,-0.00032801621340374475
2023-08-13,4 MARS,4,-1.6193196812905604,-0.25202421548109005,0.03443942393472206,0.0026736845212801635,-0.012632717658238448,-0.0003303395003839112
2023-08-14,4 MARS,4,-1.6165915959763477,-0.264648374065201,0.03410792942712158,0.0027824566939139905,-0.012615350662759732,-0.00033264357967325697
2023-08-15,4 MARS,4,-1.6137547598861801,-0.27725473034012976,0.03377414048938718,0.0028911839246941037,-0.012597111707572151,-0.0003349282800556965
2023-08-16,4 MARS,4,-1.6108092208788907,-0.28984241166915625,0.033438076586154816,0.0029998603540504192,-0.012577999457810227,-0.0003371934298460966
2023-08-17,4 MARS,4,-1.6077550326899999,-0.3024105440892508,0.033099757353986334,0.003108480088335564,-0.0125580125961261,-0.00033943885689027495
2023-08-18,4 MARS,4,-1.6045922549659968,-0.31495825232883273,0.03275920260183843,0.0032170371994171,-0.012537149823171369,-0.00034166438856530167
2023-08-19,4 MARS,4,-1.6013209532990331,-0.3274846598260168,0.03241643231153098,0.0033255257242723597,-0.012515409858090448,-0.00034386985178013005
2023-08-20,4 MARS,4,-1.5979411992620152,-0.3399888887473582,0.03207146663821503,0.0034339396645860685,-0.012492791439025626,-0.0003460550729765784
2023-08-21,4 MARS,4,-1.5944530704441002,-0.3524700600071101,0.031724325910838874,0.0035422729863502263,-0.012469293323635462,-0.0003482198781307802
2023-08-22,4 MARS,4,-1.5908566504865898,-0.3649272932870039,0.03137503063261353,0.0036505196194687142,-0.012444914289622216,-0.00035036409275481656
2023-08-23,4 MARS,4,-1.5871520291192174,-0.37735970705656424,0.031023601481475288,0.0037586734573638097,-0.012419653135274777,-0.0003524875418989132
2023-08-24,4 MARS,4,-1.5833393021968283,-0.3897664185939729,0.03067005931054649,0.0038667283565874387,-0.01239350868002224,-0.000354590050154013
2023-08-25,4 MARS,4,-1.579418571736444,-0.4021465440074925,0.030314425148593588,0.003974678136436163,-0.012366479765000653,-0.00035667144165483014
2023-08-26,4 MARS,4,-1.5753899459547118,-0.4144991982574637,0.029956720200481346,0.0040825165785706935,-0.012338565253632612,-0.00035873154008337835
2023-08-27,4 MARS,4,-1.5712535393057319,-0.42682349517888807,0.029596965847623946,0.004190237426640332,-0.012309764032219913,-0.0003607701686730337
2023-08-28,4 MARS,4,-1.5670094725192556,-0.4391185475046106,0.029235183648430974,0.00429783438591281,-0.012280075010549257,-0.00036278715021315685
2023-08-29,4 MARS,4,-1.5626578726392544,-0.45138346688911474,0.028871395338749356,0.004405301122910072,-0.01224949712251124,-0.0003647823070543309
2023-08-30,4 MARS,4,-1.558198873062845,-0.4636173639329423,0.028505622832298932,0.004512631265050664,-0.012218029326732634,-0.0003667554611142265
2023-08-31,4 MARS,4,-1.5536326135795742,-0.4758193482077531,0.028137888221102497,0.004619818400299446,-0.012185670607221963,-0.00036870643388417935
2023-09-01,4 MARS,4,-1.548959240411045,-0.4879885282820372,0.027768213775908213,0.004726856076825456,-0.012152419974028234,-0.0003706350464365094
2023-09-02,4 MARS,4,-1.5441789062508826,-0.5001240117474904,0.027396621946604804,0.004833737802668823,-0.012118276463912525,-0.0003725411194325989
2023-09-03,4 MARS,4,-1.5392917703050288,-0.5122249052460706,0.027023135362628514,0.004940457045417703,-0.01208323914103191,-0.00037442447313180277
2023-09-04,4 MARS,4,-1.5342979983323541,-0.5242903144977407,0.02664777683335981,0.005047007231896318,-0.012047307097635015,-0.00037628492740115517
2023-09-05,4 MARS,4,-1.5291977626855742,-0.5363193443289157,0.02627056934851074,0.005153381747865254,-0.012010479454768167,-0.00037812230172592533
2023-09-06,4 MARS,4,-1.523991242352461,-0.5483110987016178,0.02589153607850142,0.005259573937734825,-0.011972755362990316,-0.00037993641522087677
2023-09-07,4 MARS,4,-1.5186786229973348,-0.5602646807433531,0.025510700374824113,0.005365577104292128,-0.011934134003095842,-0.00038172708664224904
2023-09-08,4 MARS,4,-1.5132600970028154,-0.5721791927777095,0.025128085770396047,0.005471384508444575,-0.01189461458683884,-0.00038349413440011155
2023-09-09,4 MARS,4,-1.5077358635118348,-0.5840537363556847,0.024743715979899217,0.0055769893689722105,-0.011854196357664257,-0.00038523737657084577
